"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC PN"
"C1,C3,C5,C6,C9","1u","~","Capacitor_SMD:C_0402_1005Metric","5","","C52923"
"C2,C4","0.1u","~","Capacitor_SMD:C_0402_1005Metric","2","","C1525"
"C7,C10,C11,C12,C13,C14,C15,C16,C17,C18","1n","~","Capacitor_SMD:C_0402_1005Metric","10","","C1523"
"C8","10u","~","Capacitor_SMD:C_0603_1608Metric","1","","C19702"
"R1","1M","~","Resistor_SMD:R_0402_1005Metric","1","","C26083"
"R2","100k","~","Resistor_SMD:R_0402_1005Metric","1","","C25741"
"R3,R4,R5,R6,R7,R8,R9,R10,R11","2.2k","~","Resistor_SMD:R_0402_1005Metric","9","","C25879"
"U1","LH001-91Q40AR2","","Package_DFN_QFN:QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm","1","","C42459077"
